ema_period,tsi_long_period,tsi_short_period,final_value,sharpe_ratio,max_drawdown,total_return_pct,total_trades,win_rate
30,30,10,1,,0.00865905746379101,0.004937139508145281,2,100.0
30,30,13,1,,0.008659060764816064,0.004899015010635667,2,100.0
30,30,15,1,,0.00865906421164398,0.004859206609046554,2,100.0
30,35,5,1,,0.008659063482709945,0.004867625275393914,2,100.0
30,35,8,1,,0.008659060003196955,0.004907811169746922,2,100.0
30,35,10,1,,0.008659059396022867,0.004914823599230717,2,100.0
30,35,13,1,,0.008658991539511118,0.005698521215039128,2,100.0
30,35,15,1,,0.007463997038436443,0.007007940753256286,3,100.0
30,40,5,1,,0.008659058729912562,0.004922516700742925,2,100.0
30,40,8,1,,0.008658993773387597,0.0056727213284887045,2,100.0
30,40,10,1,,0.008658993774166783,0.005672712329375944,2,100.0
30,40,13,1,,0.007464016815039091,0.006742968452960663,3,100.0
30,40,15,1,,0.007326107946383118,0.006636643262540841,3,100.0
